name,english_name,source_domain,website_domain,country,city,province,grid_id,ror_id,confidence
"Ohio State University, Columbus",,https://ror.org/002nf6z37,columbusstate.edu,United States of America (the),Columbus,Ohio,grid.254590.f,https://ror.org/002nf6z37,0.9
University of Rochester,,https://ror.org/022kthw22,rochester.edu,United States of America (the),Rochester,New York,grid.16416.34,https://ror.org/022kthw22,0.9
École normale supérieure - Paris,,https://ror.org/00hx6zz33,ens-paris-saclay.fr,France,Gif-sur-Yvette,,grid.6390.c,https://ror.org/00hx6zz33,0.9
University of Florida,,https://ror.org/02y3ad647,ufl.edu,United States of America (the),Gainesville,Florida,grid.15276.37,https://ror.org/02y3ad647,0.9
אוּנִיבֶרְסִיטַת תֵּל אָבִיב,Tel Aviv University,https://ror.org/04mhzgx49,english.tau.ac.il,Israel,Tel Aviv,,grid.12136.37,https://ror.org/04mhzgx49,0.9
Rice University,,https://ror.org/008zs3103,rice.edu,United States of America (the),Houston,Texas,grid.21940.3e,https://ror.org/008zs3103,0.9
Dartmouth College,,https://ror.org/049s0rh22,dartmouth.edu,United States of America (the),Hanover,Hanover,grid.254880.3,https://ror.org/049s0rh22,0.9
Vanderbilt University,,https://ror.org/02vm5rt34,vanderbilt.edu,United States of America (the),Nashville,Tennessee,grid.152326.1,https://ror.org/02vm5rt34,0.9
University of Edinburgh,,https://ror.org/01nrxwf90,ed.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Edinburgh,Mpumalanga,grid.4305.2,https://ror.org/01nrxwf90,0.9
École Polytechnique,,https://ror.org/05hy3tk52,polytechnique.edu,France,Palaiseau,Paris,grid.10877.39,https://ror.org/05hy3tk52,0.9
Boston University,,https://ror.org/05qwgg493,bu.edu,United States of America (the),Boston,Massachusetts,grid.189504.1,https://ror.org/05qwgg493,0.9
Pierre-and-Marie-Curie University,Pierre and Marie Curie University,https://ror.org/02en5vm52,sorbonne-universite.fr,France,Paris,Paris,grid.462844.8,https://ror.org/02en5vm52,0.9
"Pennsylvania State University, University Park",,https://ror.org/04p491231,psu.edu,United States of America (the),State College,Massachusetts,grid.29857.31,https://ror.org/04p491231,0.9
University of Geneva,,https://ror.org/01swzsf04,unige.ch,Switzerland,Geneva,,grid.8591.5,https://ror.org/01swzsf04,0.9
Brown University,,https://ror.org/05gq02987,brown.edu,United States of America (the),Providence,Rhode Island,grid.40263.33,https://ror.org/05gq02987,0.9
University of British Columbia,,https://ror.org/03rmrcq20,ubc.ca,Canada,Vancouver,British Columbia,grid.17091.3e,https://ror.org/03rmrcq20,0.9
"University of Maryland, College Park",,https://ror.org/047s2c258,umd.edu,United States of America (the),College Park,Maryland,grid.164295.d,https://ror.org/047s2c258,0.9
Swiss Federal Institute of Technology in Lausanne,,https://ror.org/02s376052,epfl.ch,Switzerland,Lausanne,Vaud,grid.5333.6,https://ror.org/02s376052,0.9
Karolinska Institute,,https://ror.org/056d84691,ki.se,Sweden,Stockholm,Stockholms län,grid.4714.6,https://ror.org/056d84691,0.9
University of Pittsburgh - Pittsburgh Campus,,https://ror.org/01an3r305,pitt.edu,United States of America (the),Pittsburgh,Pennsylvania,grid.21925.3d,https://ror.org/01an3r305,0.9
Rutgers University-New Brunswick,,https://ror.org/05nkf0n29,unb.ca,Canada,Fredericton,New Brunswick,grid.266820.8,https://ror.org/05nkf0n29,0.9
"Texas A&M University, College Station",,https://ror.org/01f5ytq51,tamu.edu,United States of America (the),College Station,College Station,grid.264756.4,https://ror.org/01f5ytq51,0.9
名古屋大学,Nagoya University,https://ror.org/04chrp450,nagoya-u.ac.jp,Japan,Nagoya,,grid.27476.30,https://ror.org/04chrp450,0.9
서울대학교,Seoul National University,https://ror.org/04h9pn542,snu.ac.kr,South Korea,Seoul,Gyeonggi,grid.31501.36,https://ror.org/04h9pn542,0.9
University of Manchester,,https://ror.org/027m9bs27,manchester.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Manchester,,grid.5379.8,https://ror.org/027m9bs27,0.9
Sapienza University of Rome,,https://ror.org/02be6w209,uniroma1.it,Italy,Rome,Rome,grid.7841.a,https://ror.org/02be6w209,0.9
Case Western Reserve University,,https://ror.org/051fd9666,case.edu,United States of America (the),Cleveland,Ohio,grid.67105.35,https://ror.org/051fd9666,0.9
東北大学,Tohoku University,https://ror.org/01dq60k83,tohoku.ac.jp,Japan,Sendai,Miyagi,grid.69566.3a,https://ror.org/01dq60k83,0.9
Arizona State University,,https://ror.org/03efmqc40,asu.edu,United States of America (the),Tempe,Arizona,grid.215654.1,https://ror.org/03efmqc40,0.9
Emory University,,https://ror.org/03czfpz43,emory.edu,United States of America (the),Atlanta,Georgia,grid.189967.8,https://ror.org/03czfpz43,0.9
Ruprecht Karl University of Heidelberg,,https://ror.org/038t36y30,uni-heidelberg.de,Germany,Heidelberg,Baden-Württemberg,grid.7700.0,https://ror.org/038t36y30,0.9
Ludwig Maximilian University of Munich,,https://ror.org/05591te55,en.uni-muenchen.de,Germany,Munich,Bayern,grid.5252.0,https://ror.org/05591te55,0.9
University of Virginia,,https://ror.org/0153tk833,virginia.edu,United States of America (the),Charlottesville,Virginia,grid.27755.32,https://ror.org/0153tk833,0.9
Leiden University,,https://ror.org/027bh9e22,leiden.edu,Netherlands (the),Leiden,Zuid-Holland,grid.5132.5,https://ror.org/027bh9e22,0.9
Tufts University,,https://ror.org/05wvpxv85,tufts.edu,United States of America (the),Medford,Oregon,grid.429997.8,https://ror.org/05wvpxv85,0.9
Georgia Institute of Technology,,https://ror.org/01zkghx44,gatech.edu,United States of America (the),Atlanta,Georgia,grid.213917.f,https://ror.org/01zkghx44,0.9
University of Zurich,,https://ror.org/02crff812,uzh.ch,Switzerland,Zurich,Zürich (de),grid.7400.3,https://ror.org/02crff812,0.9
University of Helsinki,,https://ror.org/040af2s02,helsinki.fi,Finland,Helsinki,,grid.7737.4,https://ror.org/040af2s02,0.9
Technical University of Munich,,https://ror.org/02kkvpp62,tum.de,Germany,Munich,Bayern,grid.6936.a,https://ror.org/02kkvpp62,0.9
University of Oslo,,https://ror.org/01xtthb56,uio.no,Norway,Oslo,Oslo,grid.5510.1,https://ror.org/01xtthb56,0.9
University of Queensland,,https://ror.org/00rqy9422,uq.edu.au,Australia,Brisbane,Queensland,grid.1003.2,https://ror.org/00rqy9422,0.9
University of Copenhagen,,https://ror.org/035b05819,ku.dk,Denmark,Copenhagen,,grid.5254.6,https://ror.org/035b05819,0.9
University of Sydney,,https://ror.org/0384j8v12,sydney.edu.au,Australia,Sydney,New South Wales,grid.1013.3,https://ror.org/0384j8v12,0.9
Williams College,,https://ror.org/04avkmd49,williams.edu,United States of America (the),Williamstown,New Jersey,grid.268275.c,https://ror.org/04avkmd49,0.9
University of Texas MD Anderson Cancer Center,,https://ror.org/04twxam07,mdanderson.org,United States of America (the),Houston,Texas,grid.240145.6,https://ror.org/04twxam07,0.9
University of Nottingham,,https://ror.org/01ee9ar58,nottingham.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Nottingham,Nottinghamshire,grid.4563.4,https://ror.org/01ee9ar58,0.9
University of Bristol,,https://ror.org/0524sp257,bristol.ac.uk,United Kingdom of Great Britain and Northern Ireland (the),Bristol,Bristol,grid.5337.2,https://ror.org/0524sp257,0.9
Utrecht University,,https://ror.org/04pp8hn57,uu.nl,Netherlands (the),Utrecht,Utrecht,grid.5477.1,https://ror.org/04pp8hn57,0.9
Mines ParisTech,,https://ror.org/04y8cs423,mines-paristech.eu,France,Paris,Paris,grid.58140.38,https://ror.org/04y8cs423,0.9
